PLOTID,SPHA,BLIT,ASMA,MOSS,LEGR,CHCA,GRAS,SEDG,SMTR,PTAQ,COCA,VAAN,GAHI,ARNU,LYOB,PIMA,RUBU,VAOX,ROCK,ACSP,COCO,ACRU,TRBO,MACA,CLBO,STRO,FUNG,DILO,ERIO,GATR,Plot_Detail,Plot_Group
_82,0,18,48,6,0,0,5,0,0,1,2,0,0,8,0,0,4,0,1,12,0,1,2,3,1,3,0,3,0,4,high density large aspen,aspen
_83,0,24,22,6,0,0,5,1,0,2,0,0,0,6,0,0,5,0,2,3,2,4,1,3,0,4,0,3,0,4,high density large aspen,aspen
_84,0,22,23,4,0,0,1,1,0,20,1,3,0,8,3,0,0,0,3,1,1,5,3,2,0,1,1,0,0,0,very dense small aspen,aspen
_85,0,24,30,11,0,0,4,0,0,7,2,5,0,0,4,0,0,0,7,2,0,4,4,0,1,0,1,1,0,0,medium density medium size aspen,aspen
_86,2,22,10,4,0,0,5,0,0,4,6,5,0,0,4,0,4,0,18,0,2,0,0,0,0,0,1,1,0,0,low density aspen,aspen
_87,0,30,7,5,0,0,3,0,0,0,0,0,0,0,3,0,1,0,1,0,3,0,2,0,2,0,3,1,0,0,low density aspen,aspen
_88,0,42,12,4,0,0,2,1,0,0,4,2,0,4,6,0,2,0,3,1,3,2,3,2,4,1,3,1,0,0,low density young aspen,aspen
_89,0,24,3,17,0,0,1,0,0,0,8,3,0,0,6,0,1,0,8,1,1,1,0,0,4,0,1,2,0,0,low density aspenwith mapleoakbirch,aspen
_90,0,24,13,6,0,0,5,1,0,0,4,2,0,0,6,0,1,0,1,0,3,5,2,0,2,0,2,0,0,0,medium density aspen,aspen
_92,0,32,10,3,0,0,5,0,0,1,4,0,0,5,8,0,1,0,0,2,7,1,4,4,6,5,0,1,0,0,high density aspen,aspen
_93,0,26,12,1,0,0,4,0,0,3,3,2,0,3,6,0,3,0,0,4,6,2,4,4,4,5,1,1,0,4,high density aspen,aspen
_94,0,10,36,0,1,0,4,0,0,4,4,0,0,6,5,0,3,0,0,0,5,1,0,0,1,1,0,1,0,1,low density young aspen,aspen
_95,0,16,26,2,1,0,7,0,0,3,3,6,0,2,0,0,8,0,0,0,9,0,1,1,0,0,0,1,0,2,low density aspen,aspen
_96,0,31,17,3,0,0,4,1,0,6,8,2,0,2,3,0,4,0,0,1,1,6,5,6,1,1,0,2,0,2,medium density aspen,aspen
_97,0,11,36,2,0,0,3,2,0,18,4,1,0,2,3,0,3,0,0,0,1,3,2,5,2,2,0,8,0,1,medium density aspen open understory,aspen
_98,0,14,38,3,0,0,3,0,0,7,0,2,0,0,6,0,2,0,0,0,3,0,2,3,0,1,0,1,0,1,medium density aspen,aspen
_99,0,42,20,4,0,0,5,1,0,9,4,5,0,0,1,0,5,0,0,0,3,0,0,0,0,1,0,1,0,0,low densityyoung aspendense understory,aspen
_100,60,17,0,10,0,0,0,20,2,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,high density black spruce,spruce
_101,36,35,0,10,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,high density black spruce,spruce
_102,50,8,0,10,8,4,6,6,2,0,0,0,4,0,0,3,0,4,0,0,0,0,0,0,0,0,3,0,0,0,high density black spruce,spruce
_103,60,2,0,9,10,15,0,26,1,0,0,0,1,0,0,8,0,5,0,0,0,0,0,0,0,0,3,0,0,0,low density black spruce,spruce
_105,70,9,0,16,6,0,2,11,3,0,0,0,3,0,0,3,0,5,0,0,0,0,0,0,0,0,5,0,0,0,high density black spruce,spruce
